rank,prev_rank,name,league,off,def,spi
271,358,Goztepe,Turkish Turkcell Super Lig,1.1,1.15,43.97
272,275,Kasimpasa,Turkish Turkcell Super Lig,1.56,1.67,43.81
273,276,Changchun Yatai,Chinese Super League,1.39,1.49,43.73
274,277,Atlético Tucumán,Argentina Primera Division,1.21,1.29,43.64
275,284,IFK Norrkoping,Swedish Allsvenskan,1.48,1.59,43.64
276,279,América Mineiro,Brasileiro Série A,1.13,1.2,43.61
277,282,Talleres de Córdoba,Argentina Primera Division,1.04,1.11,43.44
278,283,San Lorenzo,Argentina Primera Division,1.04,1.11,43.4
279,285,Hamburg SV,German 2. Bundesliga,1.19,1.28,43.29
280,232,Luton Town,English League One,1.39,1.51,43.19
281,247,Seattle Sounders FC,Major League Soccer,1.37,1.49,43.17
282,287,Los Angeles Galaxy,Major League Soccer,1.51,1.65,43.1
283,280,Santa Clara,Portuguese Liga,1.09,1.18,43.07
284,292,Guadalajara,Mexican Primera Division Torneo Clausura,1.15,1.25,43.02
285,290,Argentinos Juniors,Argentina Primera Division,1.03,1.12,42.91
286,263,Krylia Sovetov,Russian Premier Liga,1.06,1.16,42.84
287,300,Djurgardens IF,Swedish Allsvenskan,1.2,1.32,42.79
288,295,New York City FC,Major League Soccer,1.28,1.41,42.67
289,294,Erzurumspor,Turkish Turkcell Super Lig,1.16,1.28,42.67
290,304,Puebla,Mexican Primera Division Torneo Clausura,1.19,1.31,42.64
291,293,Boavista,Portuguese Liga,1.07,1.18,42.59
292,271,Toronto FC,Major League Soccer,1.55,1.71,42.58
293,288,Ural Sverdlovsk Oblast,Russian Premier Liga,1.25,1.38,42.56
294,278,Belenenses,Portuguese Liga,1.18,1.31,42.54
295,274,Sunderland,English League One,1.42,1.58,42.39
296,297,1. FC Union Berlin,German 2. Bundesliga,1.26,1.41,42.16
297,291,Sydney FC,Australian A-League,1.23,1.38,42.14
298,259,Willem II,Dutch Eredivisie,1.63,1.83,42.13
299,265,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.38,1.56,42.01
300,302,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.41,1.59,41.98
301,298,Huracán,Argentina Primera Division,1.16,1.31,41.96
